,Entity,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Daily tests,Cases,Deaths,Population density per km2,Gini
69,Pakistan,22,-0.2218487496163564,-0.00877392430750515,3.1088017241220256,8.294501398181277,23,4,4.635624467596263,5.593680298329134,3.8999298827278643,2.393540107347963,30.0
70,Panama,27,0.36172783601759284,0.2013971243204515,4.196756331057987,6.612634158214614,29,8,4.042890389729244,5.208828179200261,3.481442628502305,1.735758537443739,51.9
71,Paraguay,22,0.11394335230683679,0.11058971029924898,3.7335824202410324,6.833229817685184,26,6,3.5450595846940027,4.905450465441351,3.2355284469075487,1.224014811372864,52.4
72,Peru,19,0.2041199826559248,0.04921802267018165,3.8437122934088324,7.507390104197003,29,8,4.035349676522988,5.980615499851372,4.553701021549961,1.3984608496082234,48.1
73,Philippines,27,0.0,0.045322978786657475,3.542215244076815,8.020850375799265,25,5,4.588697386938116,5.629325994465591,3.9167170775988125,2.5437328878872587,43.0
74,Poland,9,0.8208579894396999,0.359835482339888,4.195692137322748,7.579507400378537,41,18,4.657667643036674,5.981554055309957,4.208091845275695,2.0843975191411492,34.1
75,Portugal,15,0.5301996982030822,0.6464037262230695,4.366462182052921,7.012572266428096,46,22,4.654513446795762,5.456119964459418,3.6310376965367404,2.0477031081343045,38.5
76,Qatar,28,0.07918124604762482,0.292256071356476,4.793008369909743,6.421474112642374,31,1,3.5577477416414682,5.140665139976736,2.374748346010104,2.356752262147557,41.1
77,Romania,11,0.8382192219076258,0.42651126136457523,4.111245706271849,7.291957701640751,43,18,4.564062129034257,5.660721321414882,4.03678853310772,1.9146604305892219,30.0
78,Russia,-2,0.9057958803678685,0.5998830720736879,4.0638960381259945,8.15985295158832,39,15,5.769160863495186,6.341768970697046,4.581779045728458,0.9268567089496923,40.1
79,Rwanda,20,0.2041199826559248,-1.2218487496163564,2.9138138523837167,7.086658999223825,20,3,3.475816413031318,3.7687860469080143,1.6720978579357175,2.666077847246061,50.8
80,Saudi Arabia,27,0.43136376415898736,0.4099331233312945,4.364359600973909,7.517700033653066,31,3,4.564772553929287,5.552292151391486,3.76767522402796,1.1740598077250255,37.85
81,Senegal,29,-0.5228787452803376,-1.154901959985743,3.160408500089582,7.200044802236224,18,3,2.964259630196849,4.203603951504492,2.5211380837040362,1.906227263052359,39.2
82,Serbia,12,0.7489628612561614,0.39093510710337914,3.8699236918033266,6.846477399994062,41,18,4.350325563996703,5.1931078943993105,3.153204900084284,1.899546931090867,27.8
83,Slovakia,9,0.7649229846498885,0.5378190950732742,4.284798318502321,6.7355902775897905,41,16,4.37485828006509,5.013283938717773,2.8870543780509568,2.0450881615428167,26.0
84,Slovenia,11,0.6532125137753437,0.45024910831936105,4.414073761418556,6.31528752603157,44,20,3.841234295506041,4.861379064557087,3.111598524880394,2.0083872301141588,31.2
85,South Africa,17,0.3654879848908996,-0.08618614761628333,3.778252573942132,7.75371444565045,27,5,0.0,5.893173985360242,4.329967072734659,1.6669857183296606,63.1
86,South Korea,13,1.0888445627270043,0.367355921026019,4.503057618225899,7.711522111797309,43,14,4.306532247519607,4.523421274372631,2.717670503002262,2.710286647702891,31.3
87,Sri Lanka,28,0.5563025007672873,-0.05551732784983137,3.585810280459827,7.331305798553269,34,10,4.076858810128593,4.352201819659416,2.0293837776852097,2.514335201826775,40.3
88,Sweden,4,0.3463529744506387,0.6222140229662954,4.712775931676611,7.002932163888555,41,20,4.605843539058089,5.385836763815849,3.8248414717537007,1.360971883725936,25.0
89,Switzerland,8,0.6560982020128319,0.6283889300503115,4.91378048457462,6.927679136214389,43,19,4.30713219065578,5.502822994219365,3.6600112212893308,2.3118174116958556,33.7
90,Thailand,27,0.3222192947339193,-0.3279021420642826,3.892467490387112,7.839085138010879,40,12,3.61394747678035,3.598352709869284,1.7781512503836436,2.1288514233467835,40.0
91,Togo,27,-0.1549019599857432,-1.3010299956639813,2.832061614590727,6.891966188441224,19,3,3.00987563371216,3.466274321789292,1.806179973983887,2.1377337947537125,34.4
92,Trinidad and Tobago,27,0.47712125471966244,0.2600713879850748,4.2404993265075115,6.136443100677447,36,11,0.0,3.818621726375889,2.0718820073061255,2.4265763193351715,40.3
93,Tunisia,21,0.36172783601759284,0.11058971029924898,3.5208109315364733,7.061909416502807,32,8,0.0,4.972063916008023,3.49220145139254,1.8481275105678747,41.4
